countrycode,continentcode,continent,,,,,
ABW,NA,North America,,,,,
ABW,NA,North America,,,,,
AGO,AF,Africa,,,,,
AIA,NA,North America,,,,,
ALB,EU,Europe,,,,,
ARE,AS,Asia,,,,,
ARG,SA,South America,,,,,
ARM,AS,Asia,,,,,
ATG,NA,North America,,,,,
AUS,OC,Oceania,,,,,
AUT,EU,Europe,,,,,
AZE,AS,Asia,,,,,
BDI,AF,Africa,,,,,
BEL,EU,Europe,,,,,
BEN,AF,Africa,,,,,
BFA,AF,Africa,,,,,
BGD,AS,Asia,,,,,
BGR,EU,Europe,,,,,
BHR,AS,Asia,,,,,
BHS,NA,North America,,,,,
BIH,EU,Europe,,,,,
BLR,EU,Europe,,,,,
BLZ,NA,North America,,,,,
BMU,NA,North America,,,,,
BOL,SA,South America,,,,,
BRA,SA,South America,,,,,
BRB,NA,North America,,,,,
BRN,AS,Asia,,,,,
BTN,AS,Asia,,,,,
BWA,AF,Africa,,,,,
CAF,AF,Africa,,,,,
CAN,NA,North America,,,,,
CHE,EU,Europe,,,,,
CHL,SA,South America,,,,,
CHN,AS,Asia,,,,,
CIV,AF,Africa,,,,,
CMR,AF,Africa,,,,,
COD,AF,Africa,,,,,
COG,AF,Africa,,,,,
COL,SA,South America,,,,,
COM,AF,Africa,,,,,
COM,AF,Africa,,,,,
CPV,AF,Africa,,,,,
CRI,NA,North America,,,,,
CYM,NA,North America,,,,,
CYP,EU,Europe,,,,,
CZE,EU,Europe,,,,,
DEU,EU,Europe,,,,,
DJI,AF,Africa,,,,,
DNK,EU,Europe,,,,,
DOM,NA,North America,,,,,
DZA,AF,Africa,,,,,
ECU,SA,South America,,,,,
EGY,AF,Africa,,,,,
ESP,EU,Europe,,,,,
EST,EU,Europe,,,,,
ETH,AF,Africa,,,,,
FIN,EU,Europe,,,,,
FJI,OC,Oceania,,,,,
FRA,EU,Europe,,,,,
GAB,AF,Africa,,,,,
GBR,EU,Europe,,,,,
GEO,AS,Asia,,,,,
GHA,AF,Africa,,,,,
GIN,AF,Africa,,,,,
GMB,AF,Africa,,,,,
GNB,AF,Africa,,,,,
GNQ,AF,Africa,,,,,
GRC,EU,Europe,,,,,
GRD,NA,North America,,,,,
GTM,NA,North America,,,,,
GUY,SA,South America,,,,,
HKG,AS,Asia,,,,,
HND,NA,North America,,,,,
HRV,EU,Europe,,,,,
HTI,NA,North America,,,,,
HUN,EU,Europe,,,,,
IDN,AS,Asia,,,,,
IND,AS,Asia,,,,,
IRL,EU,Europe,,,,,
IRN,AS,Asia,,,,,
IRQ,AS,Asia,,,,,
ISL,EU,Europe,,,,,
ISR,AS,Asia,,,,,
ITA,EU,Europe,,,,,
JAM,NA,North America,,,,,
JOR,AS,Asia,,,,,
JPN,AS,Asia,,,,,
KAZ,AS,Asia,,,,,
